DATE,NYWTOT
1998-01-01,329872628.0
1998-04-01,340495672.0
1998-07-01,342328556.0
1998-10-01,343569476.0
1999-01-01,358757448.0
1999-04-01,355847452.0
1999-07-01,363801672.0
1999-10-01,362303792.0
2000-01-01,385452988.0
2000-04-01,388924936.0
2000-07-01,395480500.0
2000-10-01,409463096.0
2001-01-01,417707616.0
2001-04-01,406366644.0
2001-07-01,398679088.0
2001-10-01,396332396.0
2002-01-01,393941920.0
2002-04-01,399110680.0
2002-07-01,395048164.0
2002-10-01,391650084.0
2003-01-01,388435404.0
2003-04-01,400973952.0
2003-07-01,403213704.0
2003-10-01,412423052.0
2004-01-01,413739440.0
2004-04-01,422123740.0
2004-07-01,435154452.0
2004-10-01,434237972.0
2005-01-01,436897552.0
2005-04-01,440797268.0
2005-07-01,449836452.0
2005-10-01,459534872.0
2006-01-01,475679116.0
2006-04-01,477249796.0
2006-07-01,478050892.0
2006-10-01,495892116.0
2007-01-01,533143048.0
2007-04-01,515665084.0
2007-07-01,520097224.0
2007-10-01,524152332.0
2008-01-01,546947068.0
2008-04-01,530568952.0
2008-07-01,533907388.0
2008-10-01,527147384.0
2009-01-01,482192312.0
2009-04-01,500793236.0
2009-07-01,499474304.0
2009-10-01,505394244.0
2010-01-01,507811300.0
2010-04-01,525982284.0
2010-07-01,520596576.0
2010-10-01,517708392.0
2011-01-01,545576780.0
2011-04-01,535862380.0
2011-07-01,539079704.0
2011-10-01,529854432.0
2012-01-01,541899268.0
2012-04-01,548687168.0
2012-07-01,551013508.0
2012-10-01,572993540.0
2013-01-01,555561920.0
2013-04-01,565204192.0
2013-07-01,565290760.0
2013-10-01,573736552.0
2014-01-01,595853004.0
2014-04-01,593115464.0
2014-07-01,601850396.0
2014-10-01,613391328.0
2015-01-01,615743612.0
2015-04-01,625983612.0
2015-07-01,634708640.0
2015-10-01,633291036.0
2016-01-01,640276324.0
2016-04-01,641368996.0
2016-07-01,638133840.0
2016-10-01,645246000.0
2017-01-01,660761440.0
2017-04-01,665633012.0
2017-07-01,674673116.0
2017-10-01,702724464.0
2018-01-01,697317620.0
2018-04-01,707633040.0
2018-07-01,716665788.0
2018-10-01,714189796.0
2019-01-01,735589656.0
2019-04-01,742380908.0
2019-07-01,739368012.0
2019-10-01,747324292.0
2020-01-01,761064920.0
2020-04-01,695865704.0
2020-07-01,726085528.0
2020-10-01,750058660.0
2021-01-01,765640367.0
2021-04-01,779130146.0
2021-07-01,804071588.0
2021-10-01,835411106.0
2022-01-01,853004160.0
